st,naz,pred,id_pr,gl,prc,tip_izv,zap_st,__municipality_id,__municipality_name
,Tamara Šnofl,Andrej Plohl in skupina volivcev,8958,1456,1,1,1,55,Kungota
,Jožef Škalič,ALEKSANDRA ŠKALIČ IN SKUPINA VOLIVCEV,8163,555,1,1,1,56,Kuzma
,Marko Šantej mag. farm.,ENEJ KIRN IN SKUPINA VOLIVCEV - MLADA MOČ OBČINE LAŠKO,51491,3428,0.651959,1,1,57,Laško
,MAG. Janez Kramberger DR. VET. MED.,STANKA FERŠ IN SKUPINA VOLILCEV,6619,1898,1,1,1,58,Lenart
,Janez Magyar,SLOVENSKA DEMOKRATSKA STRANKA in NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,53493,1956,0.552075,1,1,59,Lendava
16016,Franc Rokavec,SLOVENSKA LJUDSKA STRANKA,10079,3197,0.534615,1,3,60,Litija
,Zoran Janković,JOŽE MERMAL S SKUPINO VOLIVCEV,1576,54680,0.618279,1,1,61,Ljubljana
,Franjo Naraločnik,Greta Naraločnik in skupina volivcev,1465,430,1,1,1,62,Ljubno
,mag. Olga Karba,DR. MIRAN PUCONJA IN SKUPINA VOLIVCEV Z OLGO IN EKIPO SR(e)ČNO NAPREJ!,5007,2867,0.627764,1,4,63,Ljutomer
,Berto Menard,DOMEN MENARD IN SKUPINA VOLIVCEV,55495,2747,0.509175,1,1,64,Logatec
61061,Matjaž Antončič,NAŠA NOTRANJSKA,2405,961,0.508197,1,3,65,Loška dolina
,Simon Debeljak,Barbara Levstik Šega,9029,568,0.855422,1,1,66,Loški Potok
,Klavdij Strmčnik,Ciril Rosc in skupina volivcev,6793,465,0.615894,1,3,67,Luče
,Olga Vrankar,MARJAN KVEDER IN SKUPINA VOLIVCEV,9097,1678,0.578023,1,2,68,Lukovica
16016,Sašo Kodrič,SLOVENSKA LJUDSKA STRANKA,1960,1129,0.603743,1,2,69,Majšperk
,Aleksander Saša Arsenovič,ANDREJ BRVAR IN SKUPINA VOLIVCEV,57497,19571,0.610525,1,1,70,Maribor
,Nejc Smole,Ladislav Vidmar in skupina volivcev,5341,4089,1,1,1,71,Medvode
,Bogo Ropotar,Jurij Jerič in skupina volilcev,59499,1541,0.632075,1,1,72,Mengeš
,Martina Legan Janžekovič,ANTON NEMANIČ IN SKUPINA VOLIVCEV,2417,2221,0.621781,1,2,73,Metlika
,Mark Maze,Miha Obreza in skupina volivcev,62502,959,0.589428,1,2,74,Mežica
,Mauricij Humar,Skupina volivcev,10533,1700,0.755892,1,1,75,Miren – Kostanjevica
1001,Bojan Borovnik,SOCIALNI DEMOKRATI,9032,1887,0.732816,1,2,76,Mislinja
16016,dr. Milan Balažic,SLOVENSKA LJUDSKA STRANKA,63503,1627,0.585252,1,1,77,Moravče
,Alojz Glavač,VLASTA GLAVAČ IN SKUPINA VOLIVCEV,6206,1843,0.544461,1,2,78,Moravske Toplice
,Ivan Suhoveršnik,Jožef Skornšek,5836,1176,1,1,1,79,Mozirje
1001,Damjan Anželj,SOCIALNI DEMOKRATI,65505,4244,0.645672,1,1,80,Murska Sobota
,Angelca (Angela) Mrak,TOMAŽ FERK IN SKUPINA VOLIVCEV,7425,1303,0.642188,1,2,81,Muta
16016,Ivan Meglič,"SLS, SLOVENSKA LJUDSKA STRANKA, OO NAKLO",5822,1907,1,1,1,82,Naklo
,Matej Pečovnik,Pečovnik Perme Nataša in skupina volivcev,2789,886,1,1,1,83,Nazarje
87087,Samo Turel,GIBANJE SVOBODA,67507,4801,0.557802,1,1,84,Nova Gorica
,Gregor Macedoni,Boštjan Grobler in skupina volivcev,3786,9434,0.745064,1,2,85,Novo mesto
,Barbara Ferenčak,ANDREJA POREDOŠ IN SKUPINA VOLIVCEV,6282,578,0.674446,1,1,86,Odranci
2002,Danijel Vrbnjak mag. posl. ved,SLOVENSKA DEMOKRATSKA STRANKA,4001,4658,0.913333,1,2,87,Ormož
87087,Alenka Kovač,GIBANJE SVOBODA,9495,155,0.745192,1,2,88,Osilnica
,mag. Gregor Žmak,Marjan Rodež in skupina volivcev,8895,1901,1,1,1,89,Pesnica
,Andrej Korenika,Andrej Korenika in skupina volivcev,70510,3343,0.58485,1,2,90,Piran
16016,Robert Smrdelj,SLOVENSKA LJUDSKA STRANKA,2159,1613,1,1,1,91,Pivka
,Peter Misja,Jana Stojnšek in skupina volivcev,8286,1214,1,1,1,92,Podčetrtek
,Miran Pušnik,Jani Pavlič in skupina volivcev,5203,1059,0.771304,1,1,93,Podvelka
,Igor Marentič,ANDREJ BERGINC IN SKUPINA VOLIVCEV,7460,4319,1,1,1,94,Postojna
,Rok Roblek,Eva Grah Roblek,9681,1220,1,1,1,95,Preddvor
1001,Nuška Gajšek,SOCIALNI DEMOKRATI,1477,5842,0.642896,1,2,96,Ptuj
16016,Uroš Kamenšek,SLOVENSKA LJUDSKA STRANKA,72512,1284,0.509524,1,2,97,Puconci
16016,Branko Ledinek,SLOVENSKA LJUDSKA STRANKA,3273,2062,1,1,1,98,Rače – Fram
1001,Tomaž Režun,SOCIALNI DEMOKRATI,6229,1455,1,1,1,99,Radeče
,Roman Leljak,Maja Rožman in skupina volivcev ,5260,1673,0.550329,1,1,100,Radenci
,mag. Alan Bukovnik,Alan Bukovnik in skupina volivcev,9671,2189,0.737037,1,1,101,Radlje ob Dravi
,Ciril Globočnik,Matej Globočnik in skupina volivcev,2446,4303,0.6341,1,1,102,Radovljica
,dr. Tomaž Rožen,PETER STOČKO IN SKUPINA VOLIVCEV,8870,3492,1,1,1,103,Ravne na Koroškem
,Samo Pogorelc,Matija Bartol,2750,3221,1,1,1,104,Ribnica
,Rihard Peurača,ŠTEFAN ROŽMAN IN SKUPINA VOLIVCEV,73513,919,0.65596,1,1,105,Rogašovci
17017,mag. Branko Kidrič,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,6260,2542,0.641433,1,2,106,Rogaška Slatina
17017,Martin Mikolič,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,6065,1010,0.744838,1,1,107,Rogatec
,Urška Repolusk,Srečko Šarh in skupina volivcev,1815,1894,0.607051,1,2,108,Ruše
,Polona Kambič mag.,Polona Kambič in skupina volivcev Gibanja Zdrava družba,3942,1108,1,1,1,109,Semič
16016,Srečko Ocvirk,SLOVENSKA LJUDSKA STRANKA,5415,4061,0.563558,1,1,110,Sevnica
,Andrej Sila,Tanja Sila in skupina volivcev,75515,2718,0.630626,1,1,111,Sežana
,TILEN KLUGLER,METKA ČERNJAK GOLEŽ IN SKUPINA VOLIVCEV,6634,5785,1,1,1,112,Slovenj Gradec
,dr. Ivan Žagar,"SLS, SDS, N.Si, DeSUS",8091,6205,0.6968,1,2,113,Slovenska Bistrica
1001,Darko Ratajc,SOCIALNI DEMOKRATI,5681,3410,0.566069,1,2,114,Slovenske Konjice
,Stanislav Greifoner univ.dipl.prav.,MAJDA MOHORIČ IN SKUPINA VOLIVCEV,9407,1177,1,1,1,115,Starše
,Andrej (Andrej) Vrzel,Simon Černel in skupina volivcev,77517,752,0.50708,1,1,116,Sveti Jurij ob Ščavnici
,Ciril Kozjek,SLOVENSKA LJUDSKA STRANKA IN SLOVENSKA DEMOKRATSKA STRANKA,8485,2049,0.585261,1,2,117,Šenčur
,Štefan Žvab,DAVID KOS IN SKUPINA VOLIVCEV,9449,2390,0.698422,1,3,118,Šentilj
,Jože Simončič,Peter Cvelbar in skupina volivcev,6958,2633,0.850452,1,1,119,Šentjernej
,mag. Marko Diaci,Matjaž Žmahar in skupina volivcev,5235,6116,0.706073,1,1,120,Šentjur
2002,Jože Kapler,KONFERENCA OBČINSKEGA ODBORA SLOVENSKE DEMOKRATSKE STRANKE ŠKOCJAN,10702,1060,0.841938,1,1,121,Škocjan
,Tine Radinja,MIHA JEŠE IN SKUPINA VOLIVCEV,8083,6722,0.737951,1,1,122,Škofja Loka
,Primož Cimerman,Bernarda Cimerman in skupina volivcev,80520,1953,0.521078,1,2,123,Škofljica
,Matija Čakš,Anton Guzej in skupina volivcev,7073,3000,1,1,1,124,Šmarje pri Jelšah
,Janko Kopušar,ZDRAVKO RAMŠAK IN SKUPINA VOLIVCEV,81521,929,0.706464,1,1,125,Šmartno ob Paki
,Boris Goličnik,Lista Borisa Goličnika,7031,2105,0.542107,1,6,126,Šoštanj
,Miran Jurkošek,"MIRAN JURKOŠEK IN SKUPINA VOLIVCEV ""ŽUPANOVA NEODVISNA LISTA ZA RAZVOJ""",6107,1331,0.708356,1,1,127,Štore
1001,Alen Červ,SOCIALNI DEMOKRATI,84524,2505,0.515008,1,2,128,Tolmin
1001,Zoran Poznič,SOCIALNI DEMOKRATI,7349,3609,0.601801,1,1,129,Trbovlje
45045,Mateja Povhe,DROT - ZA RAZVOJ,85525,3766,0.815328,1,1,130,Trebnje
,Peter Miklič,Drago Zalar in skupina volivcev,1398,2993,0.580151,1,1,131,Tržič
2002,Borut Horvat,SLOVENSKA DEMOKRATSKA STRANKA,6053,1110,0.831461,1,1,132,Turnišče
