OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA KAMNIK,Duško Papež,m,LDP - LISTA DUŠANA PAPEŽA,0
OBČINA MARKOVCI,Milan Gabrovec,m,LDS - LIBERALNA DEMOKRACIJA SLOVENIJE,0
MESTNA OBČINA KOPER,Alan Medveš,m,LEVICA,0
OBČINA KRŠKO,Aleš Suša,m,LEVICA,0
OBČINA JESENICE,Alma Rekić,ž,LEVICA,0
OBČINA LITIJA,Kaja Mlakar Agrež,ž,LEVICA,0
OBČINA BOROVNICA,Marko Kupljen,m,LEVICA,0
MESTNA OBČINA LJUBLJANA,Milan Jakopovič,m,LEVICA,0
OBČINA BREŽICE,Peter Dirnbek,m,LEVICA,0
OBČINA RAVNE NA KOROŠKEM,Vilko Černovšek,m,LEVICA,0
MESTNA OBČINA MARIBOR,Vladimir Šega,m,LEVICA,0
MESTNA OBČINA CELJE,Mateja Žvižej,f,LEVICA,0
OBČINA KOČEVJE,Vladimir Prebilič,m,LILIJANA ŠTEFANIČ IN SKUPINA VOLIVCEV,0
OBČINA ČRNOMELJ,Vesna Fabjan,ž,LMŠ,0
OBČINA DOMŽALE,Alenka Resinovič Reza,ž,LISTA REZA,0
OBČINA BREŽICE,Andrej Gerjevič,m,LISTA SONCE,0
OBČINA DOL PRI LJUBLJANI,Željko Savič,m,LISTA SOTOČJE,0
OBČINA RENČE-VOGRSKO,Nedeljko Gregorič,m,Lista za gospodarski razvoj,0
OBČINA RENČE-VOGRSKO,Tarik Žigon,m,LISTA ZA VAS,0
OBČINA IG,Zlatko Usenik,m,Lista Zlatka Usenika za napredek Občine Ig,0
MESTNA OBČINA MARIBOR,Josip Rotar,m,LKP - LISTA KOLESARJEV IN PEŠCEV,0
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Egon Repnik,m,LM - LISTA ZA SKUPNO OBČINO MIKLAVŽ NA D. P.,0
MESTNA OBČINA MARIBOR,Matic Matjašič,m,LMP - LISTA MLADIH. POVEZUJEMO,0
OBČINA KAMNIK,Igor Žavbi,m,LMŠ,0
OBČINA JESENICE,Janko Pirc,m,LMŠ,0
OBČINA LUKOVICA,Jernej Žurej,m,LMŠ,0
OBČINA LJUTOMER,Maksimiljan Gošnjak,m,LMŠ,0
OBČINA VELIKE LAŠČE,Matjaž Hočevar,m,LMŠ,0
MESTNA OBČINA KRANJ,Robert Nograšek,m,LMŠ,0
OBČINA RADOVLJICA,Vojka Jesenko,ž,LMŠ,0
MESTNA OBČINA MARIBOR,Igor Domanjko,m,LNBP - LISTA NOVINARJA BOJANA POŽARJA,0
OBČINA DOMŽALE,Toni Dragar,m,LTD - TONI DRAGAR - LISTA ZA VSE GENERACIJE,0
OBČINA KAMNIK,Anton Tone Smolnikar,m,LTS - LISTA TONETA SMOLNIKARJA,0
MESTNA OBČINA NOVA GORICA,Klemen Miklavič,m,LUKA MANOJLOVIĆ IN SKUPINA VOLIVCEV,0
OBČINA STARŠE,Stanislav Greifoner,m,mag. MAJDA MOHORIČ IN SKUPINA VOLIVCEC,0
OBČINA KOBARID,Marko Matajurc,m,Maja Manfreda in skupina volivcev,0
OBČINA RADENCI,Roman Leljak,m,Maja Rožman in skupina volivcev,0
OBČINA DESTRNIK,Branko Horvat,m,Majda Kunčnik in skupina volivcev - LISTA ZA URBAN,0
OBČINA VITANJE,Mirko Polutnik,m,MAJDA POLUTNIK IN SKUPINA VOLIVCEV,0
OBČINA DUPLEK,Mitja Horvat,m,Majda Zajc in skupina volivcev,0
OBČINA GORNJA RADGONA,Urška Mauko Tuš,ž,MAKSIMILJAN VAJS IN SKUPINA VOLIVCEV,0
OBČINA DOBROVNIK,Marjan Kardinar,m,Marija Kardinar in skupina volivcev,0
OBČINA ORMOŽ,Alojz Sok,m,Marija Kolmanič in skupina volivcev,0
OBČINA ŠMARJE PRI JELŠAH,Marko Ketiš,m,Marija Koritnik in skupina volivcev,0
OBČINA PREVALJE,Matija Tasič,m,Marijana Petrič in skupina volivcev,0
OBČINA KUZMA,Jožef Škalič,m,Marina Huber in skupina volivcev,0
OBČINA IZOLA,Evgenij Komljanec,m,MARIO GASPARINI IN SKUPINA VOLIVCEV,0
OBČINA GRAD,Cvetka Ficko,ž,"Marjan FICKO ""in skupina volivcev""",0
OBČINA TIŠINA,Andrej Serdt,m,Marjan Flisar in skupina volivcev,0
OBČINA LUKOVICA,Olga Vrankar,ž,Marjan Kveder in skupina volivcev,0
OBČINA SEŽANA,David Škabar,m,Marjan Masič in skupina volivcev,0
OBČINA VODICE,Aco Franc Šuštar,m,MARJAN PODGORŠEK IN SKUPINA VOLIVCEV,0
OBČINA PESNICA,Gregor Žmak,m,MARJAN RODEŽ IN SKUPINA VOLIVCEV; GREGOR ŽMAK IN LISTA 4X4,0
OBČINA TRŽIČ,Andrej Frelih,m,Marko Poljanc in skupina volivcev,0
OBČINA LAŠKO,Enej Kirn,m,Marko Šantej in skupina volivcev - Mlada moč občine Laško,0
OBČINA ROGATEC,Viljem Prevolšek,m,Martin Korez in skupina volivcev (LISTA HRAST),0
OBČINA STRAŽA,Dušan Krštinc,m,MARTIN KRŠTINC IN SKUPINA VOLIVCEV RIOS,0
OBČINA DESTRNIK,Vladimir Vindiš,m,Martin Vindiš in skupina volivcev - ŽUPANOVA LISTA-VLADIMIR VINDIŠ,0
OBČINA RADENCI,Jožef Toplak,m,Martin Žnidarič in skupina volivcev,0
OBČINA ŠENTJERNEJ,Viktorija Rangus,ž,Martina Dolar in skupina volivcev,0
OBČINA TOLMIN,Uroš Brežan,m,MARTINA KENDA IN SKUPINA VOLIVCEV,0
OBČINA BOHINJ,Bojan Traven,m,Maruša Krkoč in skupina volivcev,0
OBČINA DOMŽALE,Metod Marčun,m,MAŠA MARČUN IN SKUPINA VOLIVCEV,0
OBČINA VIPAVA,Ivan Princes,m,MATEJ HOSTA IN SKUPINA VOLIVCEV,0
OBČINA ŠENČUR,Matej Knific,m,MATEJ KNIFIC IN SKUPINA VOLIVCEV,0
OBČINA TRBOVLJE,Andrej Bregar,m,Matic Cestnik in skupina volilcev,0
OBČINA OPLOTNICA,Andrej Kos,m,Matic Jarni in skupina volivcev,0
OBČINA LOG-DRAGOMER,Miran Stanovnik,m,MATIJA NIK IN SKUPINA VOLIVCEV,0
MESTNA OBČINA SLOVENJ GRADEC,Tilen Klugler,m,METKA ČERNJAK IN SKUPINA VOLIVCEV,0
OBČINA KOSTEL,Valentin Južnič,m,Metka Pelcar in skupina volivcev,0
OBČINA BISTRICA OB SOTLI,Petra Misja Zorko,ž,METODA RAINER IN SKUPINA VOLIVCEV,0
OBČINA ŠKOFJA LOKA,Tine Radinja,m,MIHA JEŠE IN SKUPINA VOLIVCEV,0
OBČINA VIDEM,Franc Sitar,m,Mijo Bračko in skupina volivcev,0
OBČINA BOVEC,Siniša Germovšek,m,Milan Jojić in skupina volivcev,0
OBČINA PODVELKA,Uljana Brunšek,ž,Milan Ribič in skupina volivcev,0
